Date,Value,Anomaly
189501,28.7,-2.9
189601,27.9,-3.7
189701,28.8,-2.8
189801,33.3,1.7
189901,29.3,-2.3
190001,31.0,-0.6
190101,31.4,-0.2
190201,29.3,-2.3
190301,29.3,-2.3
190401,23.6,-8.0
190501,26.9,-4.7
190601,36.0,4.4
190701,32.5,0.9
190801,30.6,-1.0
190901,32.4,0.8
191001,29.4,-2.2
191101,34.2,2.6
191201,22.8,-8.8
191301,39.9,8.3
191401,30.6,-1.0
191501,33.5,1.9
191601,35.0,3.4
191701,31.9,0.3
191801,20.8,-10.8
191901,34.7,3.1
192001,23.0,-8.6
192101,33.0,1.4
192201,27.8,-3.8
192301,29.3,-2.3
192401,32.0,0.4
192501,27.8,-3.8
192601,31.3,-0.3
192701,30.3,-1.3
192801,33.3,1.7
192901,31.0,-0.6
193001,32.4,0.8
193101,31.8,0.2
193201,42.3,10.7
193301,39.4,7.8
193401,33.7,2.1
193501,28.1,-3.5
193601,28.6,-3.0
193701,39.5,7.9
193801,31.4,-0.2
193901,31.4,-0.2
194001,24.2,-7.4
194101,28.7,-2.9
194201,30.0,-1.6
194301,30.0,-1.6
194401,33.2,1.6
194501,24.5,-7.1
194601,33.4,1.8
194701,36.4,4.8
194801,24.4,-7.2
194901,37.7,6.1
195001,40.7,9.1
195101,35.5,3.9
195201,35.2,3.6
195301,36.7,5.1
195401,30.0,-1.6
195501,30.2,-1.4
195601,31.3,-0.3
195701,27.8,-3.8
195801,31.1,-0.5
195901,30.5,-1.1
196001,33.1,1.5
196101,27.0,-4.6
196201,31.8,0.2
196301,29.4,-2.2
196401,34.9,3.3
196501,28.9,-2.7
196601,31.5,-0.1
196701,36.6,5.0
196801,26.0,-5.6
196901,31.0,-0.6
197001,24.4,-7.2
197101,26.2,-5.4
197201,34.3,2.7
197301,34.7,3.1
197401,34.4,2.8
197501,36.5,4.9
197601,26.6,-5.0
197701,21.3,-10.3
197801,27.3,-4.3
197901,32.0,0.4
198001,32.7,1.1
198101,24.7,-6.9
198201,24.6,-7.0
198301,33.0,1.4
198401,28.4,-3.2
198501,27.3,-4.3
198601,32.7,1.1
198701,31.6,0.0
198801,28.6,-3.0
198901,36.5,4.9
199001,40.5,8.9
199101,34.0,2.4
199201,34.8,3.2
199301,35.4,3.8
199401,24.7,-6.9
199501,37.2,5.6
199601,30.4,-1.2
199701,32.2,0.6
199801,40.0,8.4
199901,33.9,2.3
200001,31.3,-0.3
200101,33.6,2.0
200201,39.9,8.3
200301,27.5,-4.1
200401,24.7,-6.9
200501,31.3,-0.3
200601,40.9,9.3
200701,37.5,5.9
200801,36.5,4.9
200901,27.9,-3.7
201001,32.5,0.9
201101,29.7,-1.9
201201,37.3,5.7
201301,35.1,3.5
201401,28.7,-2.9
201501,30.0,-1.6
201601,34.5,2.9
201701,38.1,6.5
201801,31.8,0.2
